21:28:10 [AccountInfo] Account created (Account: vlxx, Password: 123123 )
21:28:14 [AccountInfo] Account connected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
21:58:23 [AccountInfo] Account disconnected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
21:58:45 [AccountInfo] Account connected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
22:09:22 [AccountInfo] Account disconnected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
22:09:27 [AccountInfo] Account connected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
22:12:49 [AccountInfo] Account disconnected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
22:13:17 [AccountInfo] Account connected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
22:15:24 [AccountInfo] Account created (Account: vlxx3, Password: 123123 )
22:15:27 [AccountInfo] Account connected (Account: vlxx3, IpAddress: 192.168.1.135, GameServerCode: 20)
22:19:39 [AccountInfo] Account disconnected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
22:20:26 [AccountInfo] Account connected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
22:22:48 [AccountInfo] Account disconnected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
22:22:48 [AccountInfo] Account disconnected (Account: vlxx3, IpAddress: 192.168.1.135, GameServerCode: 20)
22:25:09 [AccountInfo] Account connected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
22:44:21 [AccountInfo] Account disconnected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
22:46:24 [AccountInfo] Account connected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
22:47:17 [AccountInfo] Account disconnected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
22:48:34 [AccountInfo] Account connected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
22:49:56 [AccountInfo] Account disconnected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
22:54:58 [AccountInfo] Account connected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
22:56:32 [AccountInfo] Account disconnected (Account: vlxx, IpAddress: 192.168.1.135, GameServerCode: 20)
